case_id,online_baseline_ms,online_anchor_ms,online_anchor_raw_score,inferred_hardware_ms,local_anchor_ms,local_candidate_ms,local_ratio,projected_online_ms_raw,bias_factor,projected_online_ms_corrected,projected_raw_score,projected_display_score
1,0.105,0.022,82.6772,6.732522982929434e-08,0.03704319894313812,0.04012800008058548,1.0832757759982494,0.023832067071961487,1.0,0.023832067071961487,81.50148080620257,81.50148080620257
2,0.125,0.033,79.1139,-6.526092345764489e-08,0.05314559936523437,0.06511999666690826,1.2253130540382435,0.04043533078326204,1.0,0.04043533078326204,75.55820516037285,75.55820516037285
3,0.146,0.042,77.6596,8.676915066498819e-08,0.06111999750137329,0.08380799740552902,1.3712042020886201,0.05759057648772205,1.0,0.05759057648772205,71.71257147475711,71.71257147475711
4,0.171,0.056,75.3304,1.5791302117899283e-08,0.08633599877357483,0.11033599823713303,1.2779836893588352,0.07156708660409478,1.0,0.07156708660409478,70.495964175163,70.495964175163
5,0.124,0.024,83.7838,3.551998294773034e-08,0.05023999810218811,0.05407999828457832,1.0764331275367418,0.025834395060881803,1.0,0.025834395060881803,82.75804979285483,82.75804979285483
6,0.16,0.044,78.4314,9.848266353226857e-08,0.077811199426651,0.09523200243711472,1.2238855478238129,0.053850964104247764,1.0,0.053850964104247764,74.81848377630467,74.81848377630467
7,0.204,0.065,75.8364,-1.6256134752200516e-07,0.10512640476226806,0.11337599903345108,1.0784730942700702,0.07010075112755457,1.0,0.07010075112755457,74.4251592704798,74.4251592704798
8,0.271,0.096,73.842,2.9359953027076644e-07,0.15964159965515137,0.16601599752902985,1.039929428718129,0.09983322515694039,1.0,0.09983322515694039,73.07870954747263,73.07870954747263
9,0.176,0.046,79.27929999999999,7.855379053306957e-08,0.06791679859161377,0.0987199991941452,1.4535431769649836,0.06686298614038924,1.0,0.06686298614038924,72.46885912806103,72.46885912806103
10,0.285,0.091,75.7979,2.0156679420633285e-07,0.14489599466323852,0.16419200599193573,1.1331714611818238,0.10311860296754596,1.0,0.10311860296754596,73.43118631260599,73.43118631260599
11,0.363,0.153,70.3488,-4.717722912252055e-07,0.21935360431671141,0.2625280022621155,1.1968255688339051,0.18311431203158748,1.0,0.18311431203158748,66.46957177369336,66.46957177369336
12,0.569,0.278,67.17830000000001,5.85040429295953e-07,0.398528003692627,0.4670400023460388,1.1719126335379262,0.3257917121235435,1.0,0.3257917121235435,63.5902357283105,63.5902357283105
13,0.109,0.022,83.2061,-1.3551726930702132e-08,0.04500479996204376,0.04374400153756142,0.9719852454505813,0.021383675399912788,1.0,0.021383675399912788,83.59941576970667,83.59941576970667
14,0.125,0.035,78.125,0.0,0.053964799642562865,0.07276800274848938,1.3484345949669039,0.04719521082384164,1.0,0.04719521082384164,72.59203052277506,72.59203052277506
15,0.152,0.047,76.3819,-3.6009536826528226e-08,0.08065279722213745,0.09884800016880035,1.2255991555574803,0.05760316031120158,1.0,0.05760316031120158,72.51798281909502,72.51798281909502
16,0.185,0.071,72.26559999999999,-1.4371945968501975e-07,0.1089792013168335,0.14828799664974213,1.3606999763067338,0.09660969831777809,1.0,0.09660969831777809,65.69374421235696,65.69374421235696
17,0.123,0.032,79.3548,-1.0219793698546228e-07,0.05135359764099121,0.08739200234413147,1.7017698147475817,0.05445663407192262,1.0,0.05445663407192262,69.31268654392152,69.31268654392152
18,0.183,0.06,75.3086,-2.0151252936178095e-07,0.10515199899673462,0.1045759990811348,0.9945222162099104,0.05967133297259462,1.0,0.05967133297259462,75.41059561806529,75.41059561806529
19,0.263,0.091,74.2938,1.0702319112411555e-07,0.1602944016456604,0.15593600273132324,0.972810036597712,0.08852571333039179,1.0,0.08852571333039179,74.81673264457046,74.81673264457046
20,0.404,0.153,72.5314,-2.2635078156296836e-07,0.28852479457855223,0.2575039863586426,0.8924847749559212,0.13655017056825594,1.0,0.13655017056825594,74.73864777122316,74.73864777122316
21,0.191,0.06,76.09559999999999,-8.430540020971275e-08,0.10599679946899414,0.10751999914646149,1.014370242168613,0.060862214530116775,1.0,0.060862214530116775,75.83509769243132,75.83509769243132
22,0.399,0.161,71.25,4.6531406179142585e-17,0.2662015914916992,0.2720640003681183,1.022022441126547,0.16454561302137408,1.0,0.16454561302137408,70.80172230617059,70.80172230617059
23,0.532,0.278,65.679,-3.1889788871163716e-07,0.40037121772766116,0.4665600061416626,1.165318548095593,0.32395855637057486,1.0,0.32395855637057486,62.15253279871851,62.15253279871851
24,0.899,0.524,63.1764,6.52682067910711e-07,0.7592959880828858,0.8703039884567261,1.1461985867383808,0.6006080594509116,1.0,0.6006080594509116,59.949006289012154,59.949006289012154
