case_id,online_baseline_ms,online_anchor_ms,online_anchor_raw_score,inferred_hardware_ms,local_anchor_ms,local_candidate_ms,local_ratio,projected_online_ms_raw,bias_factor,projected_online_ms_corrected,projected_raw_score,projected_display_score
1,0.105,0.022,82.6772,6.732522982929434e-08,0.03704319894313812,0.03972266614437103,1.0723335801896032,0.02359133876417127,1.0,0.02359133876417127,81.65405511089237,81.65405511089237
2,0.125,0.033,79.1139,-6.526092345764489e-08,0.05314559936523437,0.06353066861629486,1.1954078865437345,0.03944846025594324,1.0,0.03944846025594324,76.01163662741799,76.01163662741799
3,0.146,0.042,77.6596,8.676915066498819e-08,0.06111999750137329,0.08351999521255493,1.3664921241313588,0.05739266921351707,1.0,0.05739266921351707,71.7823500548354,71.7823500548354
4,0.171,0.056,75.3304,1.5791302117899283e-08,0.08633599877357483,0.10980266332626343,1.2718062556296172,0.07122115031525857,1.0,0.07122115031525857,70.59664537237768,70.59664537237768
5,0.124,0.024,83.7838,3.551998294773034e-08,0.05023999810218811,0.053802669048309326,1.0709130390266883,0.02570191293664052,1.0,0.02570191293664052,82.83128845241785,82.83128845241785
6,0.16,0.044,78.4314,9.848266353226857e-08,0.077811199426651,0.09418666362762451,1.2104512502266451,0.053259855009972386,1.0,0.053259855009972386,75.02586423722059,75.02586423722059
7,0.204,0.065,75.8364,-1.6256134752200516e-07,0.10512640476226806,0.11370666821797688,1.081618537941178,0.07030520496617658,1.0,0.07030520496617658,74.36968642055957,74.36968642055957
8,0.271,0.096,73.842,2.9359953027076644e-07,0.15964159965515137,0.16595199704170227,1.039528527653082,0.09979473865469586,1.0,0.09979473865469586,73.0862947370124,73.0862947370124
9,0.176,0.046,79.27929999999999,7.855379053306957e-08,0.06791679859161377,0.09774933258692424,1.4392511810619137,0.06620555432884803,1.0,0.06620555432884803,72.6655654520467,72.6655654520467
10,0.285,0.091,75.7979,2.0156679420633285e-07,0.14489599466323852,0.16249600052833557,1.121466476047197,0.10205344932029493,1.0,0.10205344932029493,73.63326583812174,73.63326583812174
11,0.363,0.153,70.3488,-4.717722912252055e-07,0.21935360431671141,0.26013867060343426,1.1859329661519296,0.1814477438212452,1.0,0.1814477438212452,66.67303644877424,66.67303644877424
12,0.569,0.278,67.17830000000001,5.85040429295953e-07,0.398528003692627,0.4638293186823527,1.1638562770612495,0.32355204502302737,1.0,0.32355204502302737,63.74980193666137,63.74980193666137
13,0.109,0.022,83.2061,-1.3551726930702132e-08,0.04500479996204376,0.04287999868392944,0.9527872298086796,0.02096131905579095,1.0,0.02096131905579095,83.87110227233762,83.87110227233762
14,0.125,0.035,78.125,0.0,0.053964799642562865,0.07223466535409291,1.3385515341952705,0.046849303696834474,1.0,0.046849303696834474,72.7381474995773,72.7381474995773
15,0.152,0.047,76.3819,-3.6009536826528226e-08,0.08065279722213745,0.09683199723561604,1.200603085952706,0.05642834503977718,1.0,0.05642834503977718,72.92673338617682,72.92673338617682
16,0.185,0.071,72.26559999999999,-1.4371945968501975e-07,0.1089792013168335,0.14587733149528503,1.3385795613529794,0.09503914885606153,1.0,0.09503914885606153,66.06217544467161,66.06217544467161
17,0.123,0.032,79.3548,-1.0219793698546228e-07,0.05135359764099121,0.08497066299120586,1.6546194793445397,0.05294782333902527,1.0,0.05294782333902527,69.90706504722017,69.90706504722017
18,0.183,0.06,75.3086,-2.0151252936178095e-07,0.10515199899673462,0.1032533347606659,0.9819436220501363,0.05891661732300817,1.0,0.05891661732300817,75.64585627304403,75.64585627304403
19,0.263,0.091,74.2938,1.0702319112411555e-07,0.1602944016456604,0.15415466825167337,0.9616971439366969,0.08751444009823942,1.0,0.08751444009823942,75.03258739001912,75.03258739001912
20,0.404,0.153,72.5314,-2.2635078156296836e-07,0.28852479457855223,0.25565866629282635,0.8860890678954182,0.135571627387999,1.0,0.135571627387999,74.8741903553873,74.8741903553873
21,0.191,0.06,76.09559999999999,-8.430540020971275e-08,0.10599679946899414,0.10628267129262288,1.0026969854284362,0.06016181912570617,1.0,0.06016181912570617,76.04657298132945,76.04657298132945
22,0.399,0.161,71.25,4.6531406179142585e-17,0.2662015914916992,0.2709760069847107,1.0179353379003384,0.1638875894019545,1.0,0.1638875894019545,70.88449052925851,70.88449052925851
23,0.532,0.278,65.679,-3.1889788871163716e-07,0.40037121772766116,0.4628053506215413,1.1559406124352047,0.32135149025698695,1.0,0.32135149025698695,62.3424142753171,62.3424142753171
24,0.899,0.524,63.1764,6.52682067910711e-07,0.7592959880828858,0.8615039984385172,1.1346089166277462,0.594535072312939,1.0,0.594535072312939,60.192770141014755,60.192770141014755
