case_id,online_baseline_ms,online_anchor_ms,online_anchor_raw_score,inferred_hardware_ms,local_anchor_ms,local_candidate_ms,local_ratio,projected_online_ms_raw,bias_factor,projected_online_ms_corrected,projected_raw_score,projected_display_score
1,0.105,0.022,82.6772,6.732522982929434e-08,0.03704319894313812,0.04076800122857094,1.100552932568012,0.02421216451649626,1.0,0.02421216451649626,81.2617314220906,81.2617314220906
2,0.125,0.033,79.1139,-6.526092345764489e-08,0.05314559936523437,0.06473600119352341,1.218087705599779,0.04019689428479271,1.0,0.04019689428479271,75.66726180888183,75.66726180888183
3,0.146,0.042,77.6596,8.676915066498819e-08,0.06111999750137329,0.08403199911117554,1.3748691516109346,0.05774450436765926,1.0,0.05774450436765926,71.6583929656078,71.6583929656078
4,0.171,0.056,75.3304,1.5791302117899283e-08,0.08633599877357483,0.11011199653148651,1.275389155110914,0.07142179268621118,1.0,0.07142179268621118,70.53821547629768,70.53821547629768
5,0.124,0.024,83.7838,3.551998294773034e-08,0.05023999810218811,0.05491200089454651,1.0929936896664596,0.02623184855199503,1.0,0.02623184855199503,82.53910493077159,82.53910493077159
6,0.16,0.044,78.4314,9.848266353226857e-08,0.077811199426651,0.09443199634552002,1.2136041731953595,0.05339858362059582,1.0,0.05339858362059582,74.97709051371879,74.97709051371879
7,0.204,0.065,75.8364,-1.6256134752200516e-07,0.10512640476226806,0.11353600025177002,1.079995083143187,0.07019968040430716,1.0,0.07019968040430716,74.39830723900491,74.39830723900491
8,0.271,0.096,73.842,2.9359953027076644e-07,0.15964159965515137,0.16463999450206757,1.0313101024902873,0.09900576983906759,1.0,0.09900576983906759,73.2421379794932,73.2421379794932
9,0.176,0.046,79.27929999999999,7.855379053306957e-08,0.06791679859161377,0.08569599688053131,1.2617790982143389,0.05804183851785959,1.0,0.05804183851785959,75.20024654825438,75.20024654825438
10,0.285,0.091,75.7979,2.0156679420633285e-07,0.14489599466323852,0.1637440025806427,1.1300795647333797,0.10283724039073755,1.0,0.10283724039073755,73.48445816771168,73.48445816771168
11,0.363,0.153,70.3488,-4.717722912252055e-07,0.21935360431671141,0.2627519965171814,1.1978467248607854,0.18327054890370015,1.0,0.18327054890370015,66.45056108371932,66.45056108371932
12,0.569,0.278,67.17830000000001,5.85040429295953e-07,0.398528003692627,0.46668800711631775,1.171029395154526,0.32554617185295825,1.0,0.32554617185295825,63.60769037134845,63.60769037134845
13,0.109,0.022,83.2061,-1.3551726930702132e-08,0.04500479996204376,0.04383999854326248,0.9741182847215485,0.021430602263874065,1.0,0.021430602263874065,83.56933803083432,83.56933803083432
14,0.125,0.035,78.125,0.0,0.053964799642562865,0.07340800017118454,1.360294129829151,0.04761029454402029,1.0,0.04761029454402029,72.41746520982943,72.41746520982943
15,0.152,0.047,76.3819,-3.6009536826528226e-08,0.08065279722213745,0.09734400361776352,1.2069513640011074,0.056726714108052044,1.0,0.056726714108052044,72.82248667258295,72.82248667258295
16,0.185,0.071,72.26559999999999,-1.4371945968501975e-07,0.1089792013168335,0.12624000012874603,1.1583861746401543,0.08224541839945095,1.0,0.08224541839945095,69.22473951044415,69.22473951044415
17,0.123,0.032,79.3548,-1.0219793698546228e-07,0.05135359764099121,0.08585599809885025,1.6718594615135338,0.053499502768433085,1.0,0.053499502768433085,69.68855879371729,69.68855879371729
18,0.183,0.06,75.3086,-2.0151252936178095e-07,0.10515199899673462,0.10419200360774994,0.9908704028630545,0.059452224171783266,1.0,0.059452224171783266,75.47874552992799,75.47874552992799
19,0.263,0.091,74.2938,1.0702319112411555e-07,0.1602944016456604,0.15539200603961945,0.9694163017815309,0.08821688346211931,1.0,0.08821688346211931,74.88252007352604,74.88252007352604
20,0.404,0.153,72.5314,-2.2635078156296836e-07,0.28852479457855223,0.25814399123191833,0.89470297209288,0.13688955473021064,1.0,0.13688955473021064,74.69175262989877,74.69175262989877
21,0.191,0.06,76.09559999999999,-8.430540020971275e-08,0.10599679946899414,0.10787200182676315,1.017691122441084,0.06106146734646504,1.0,0.06106146734646504,75.77515062140688,75.77515062140688
22,0.399,0.161,71.25,4.6531406179142585e-17,0.2662015914916992,0.2730239927768707,1.025628702093557,0.1651262210370627,1.0,0.1651262210370627,70.72885200522987,70.72885200522987
23,0.532,0.278,65.679,-3.1889788871163716e-07,0.40037121772766116,0.4665600061416626,1.165318548095593,0.32395855637057486,1.0,0.32395855637057486,62.15253279871851,62.15253279871851
24,0.899,0.524,63.1764,6.52682067910711e-07,0.7592959880828858,0.8713279962539673,1.147547214695479,0.6013147405004311,1.0,0.6013147405004311,59.920768971602456,59.920768971602456
