case_id,name,batch_size,seq_len,num_heads,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,kv_bandwidth_GB_s,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,b1_l1024_h64,1,1024,64,0.0236160010099411,0.03733760118484497,0.632499149932713,6.038547167235054,49.95121737602526,12,20,1.0,0.00390625,0,True
2,b1_l4096_h64,1,4096,64,0.032746667663256325,0.053299200534820554,0.6143932241884719,17.419340186484092,144.0938066896662,12,20,1.0,0.001953125,0,True
3,b1_l8192_h64,1,8192,64,0.04341333111127218,0.060889601707458496,0.7129843174184269,26.27881019025929,217.37986370618898,12,20,1.0,0.00146484375,0,True
4,b1_l16384_h64,1,16384,64,0.057536001006762184,0.0866047978401184,0.6643511957961002,39.656933677608784,328.0444881419844,12,20,1.0,0.0009765625,0,True
5,b4_l1024_h64,4,1024,64,0.02498133232196172,0.049830400943756105,0.5013271386308593,22.834064118290627,188.88472156674231,12,20,1.0,0.00390625,0,True
6,b4_l4096_h64,4,4096,64,0.04537599782148997,0.07750399708747864,0.5854665504577028,50.28432399384926,415.95488597853256,12,20,1.0,0.002197265625,0,True
7,b4_l8192_h64,4,8192,64,0.06611200173695882,0.10437120199203491,0.6334314492421401,69.02533022909373,570.9815919686062,12,20,1.0,0.00146484375,0,True
8,b4_l16384_h64,4,16384,64,0.09723732868830363,0.1600000023841858,0.6077332952459659,93.86112953859698,776.4247847861883,12,20,1.0,0.001220703125,0,True
9,b16_l1024_h64,16,1024,64,0.046336000164349876,0.06769919991493226,0.6844394058212444,49.24251916235752,407.33701512979565,12,20,1.0,0.005615234375,0,True
10,b16_l4096_h64,16,4096,64,0.09252267082532246,0.14431999921798705,0.6410938977734632,98.64399095472383,815.9888957651788,12,20,1.0,0.002197265625,0,True
11,b16_l8192_h64,16,8192,64,0.15426133076349893,0.2187903881072998,0.7050644779141104,118.32914261568875,978.8256282547783,12,20,1.0,0.001953125,0,True
12,b16_l16384_h64,16,16384,64,0.279530664285024,0.3979520082473755,0.7024230522572504,130.6018504602248,1080.3461894687712,12,20,1.0,0.001220703125,0,True
13,b1_l1024_h128,1,1024,128,0.023061332603295643,0.0447488009929657,0.5153508494433353,12.367571159319775,51.152638067039504,12,20,1.0,0.0048828125,0,True
14,b1_l4096_h128,1,4096,128,0.03505066782236099,0.05360640287399292,0.6538522628491042,32.54861487324303,134.62202842793533,12,20,1.0,0.0029296875,0,True
15,b1_l8192_h128,1,8192,128,0.04842666784922282,0.08039680123329163,0.6023457041369172,47.116629686438735,194.8757661663367,12,20,1.0,0.001953125,0,True
16,b1_l16384_h128,1,16384,128,0.07242666681607564,0.10881279706954956,0.6656079869887261,63.007217543071015,260.59970491159885,12,20,1.0,0.0010986328125,0,True
17,b4_l1024_h128,4,1024,128,0.03302400062481562,0.05075200200080872,0.6506935553850545,34.54610787351781,142.88371822686594,12,20,1.0,0.005859375,0,True
18,b4_l4096_h128,4,4096,128,0.060458665092786155,0.105075204372406,0.5753847014040481,75.47971403266227,312.18631723068034,12,20,1.0,0.00244140625,0,True
19,b4_l8192_h128,4,8192,128,0.09177600344022115,0.15975680351257324,0.5744732081660494,99.44653462650288,411.3137921132932,12,20,1.0,0.001953125,0,True
20,b4_l16384_h128,4,16384,128,0.15432533621788025,0.28879361152648925,0.5343793285528581,118.28006635429655,489.20983326685155,12,20,1.0,0.00146484375,0,True
21,b16_l1024_h128,16,1024,128,0.060458665092786155,0.1070207953453064,0.5649244606874217,75.47971403266227,312.18631723068034,12,20,1.0,0.0078125,0,True
22,b16_l4096_h128,16,4096,128,0.16057599584261575,0.2661504030227661,0.603328020618779,113.67583873427002,470.1666124119624,12,20,1.0,0.0029296875,0,True
23,b16_l8192_h128,16,8192,128,0.27908267577489215,0.39996159076690674,0.6977736918181688,130.81149488994686,541.0401902617288,12,20,1.0,0.001953125,0,True
24,b16_l16384_h128,16,16384,128,0.5261226495107015,0.7585792064666748,0.6935632364104548,138.77837059458292,573.9914224959772,12,20,1.0,0.001953125,0,True
