case_id,name,batch_size,seq_len,num_heads,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,kv_bandwidth_GB_s,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,b1_l1024_h64,1,1024,64,0.023210667073726654,0.03193599879741669,0.7267869472616642,6.143999892248829,50.82352852044068,12,20,1.0,0.00390625,0,True
2,b1_l4096_h64,1,4096,64,0.03287466615438461,0.04798719882965088,0.6850715806747952,17.35151746701222,143.53277316462314,12,20,1.0,0.001953125,0,True
3,b1_l8192_h64,1,8192,64,0.0429013321797053,0.05592319965362549,0.7671473099791424,26.5924303520739,219.97414813296425,12,20,1.0,0.00146484375,0,True
4,b1_l16384_h64,1,16384,64,0.057301332553227745,0.08217599987983704,0.6973000953686891,39.81934231425606,329.38794193777994,12,20,1.0,0.0009765625,0,True
5,b4_l1024_h64,4,1024,64,0.02493866781393687,0.0460671991109848,0.5413541151884401,22.873128117983118,189.20786127008094,12,20,1.0,0.00390625,0,True
6,b4_l4096_h64,4,4096,64,0.04543999830881754,0.07251200079917908,0.6266548682701909,50.21350046039153,415.3690295436799,12,20,1.0,0.002197265625,0,True
7,b4_l8192_h64,4,8192,64,0.06583466629187266,0.10068479776382447,0.6538689827465366,69.31610668106865,573.38691188384,12,20,1.0,0.00146484375,0,True
8,b4_l16384_h64,4,16384,64,0.09723732868830363,0.15481599569320678,0.6280832174538044,93.86112953859698,776.4247847861883,12,20,1.0,0.001220703125,0,True
9,b16_l1024_h64,16,1024,64,0.04637866715590159,0.06367999911308289,0.7283082255315737,49.19721751231176,406.9622772158142,12,20,1.0,0.005615234375,0,True
10,b16_l4096_h64,16,4096,64,0.09269332885742188,0.14058239459991456,0.6593523258813391,98.46237713653137,814.486575577925,12,20,1.0,0.002197265625,0,True
11,b16_l8192_h64,16,8192,64,0.15383467078208923,0.2137984037399292,0.7195314281636,118.65732812505387,981.5403980932765,12,20,1.0,0.001953125,0,True
12,b16_l16384_h64,16,16384,64,0.28230400880177814,0.3936383962631226,0.7171658341303566,129.3188225379889,1069.7329070238052,12,20,1.0,0.001220703125,0,True
13,b1_l1024_h128,1,1024,128,0.02293333411216736,0.04038400053977966,0.567881681003278,12.436598647410777,51.438137788004134,12,20,1.0,0.0048828125,0,True
14,b1_l4096_h128,1,4096,128,0.03515733281771342,0.04888319969177246,0.7192109567171143,32.44986455358189,134.2135942013957,12,20,1.0,0.0029296875,0,True
15,b1_l8192_h128,1,8192,128,0.04804266492525736,0.07560960054397584,0.6354042949521328,47.49323085115635,196.43339966011357,12,20,1.0,0.001953125,0,True
16,b1_l16384_h128,1,16384,128,0.07202133536338806,0.10471680164337158,0.6877724895443931,63.361818119243026,262.066343324075,12,20,1.0,0.0010986328125,0,True
17,b4_l1024_h128,4,1024,128,0.03221333275238673,0.04679679870605469,0.6883661627097344,35.41548143339726,146.47947284033793,12,20,1.0,0.005859375,0,True
18,b4_l4096_h128,4,4096,128,0.060032000144322716,0.10188800096511841,0.5891959757349132,76.01617039294275,314.4051165149287,12,20,1.0,0.00244140625,0,True
19,b4_l8192_h128,4,8192,128,0.09141332904497783,0.15481599569320678,0.5904643679463736,99.84108006294537,412.9456436426968,12,20,1.0,0.001953125,0,True
20,b4_l16384_h128,4,16384,128,0.1539413332939148,0.2836479902267456,0.5427196334825272,118.5751131124025,490.4301553362236,12,20,1.0,0.00146484375,0,True
21,b16_l1024_h128,16,1024,128,0.06047999858856201,0.1018623948097229,0.5937421626650105,75.45308959155683,312.0761977591964,12,20,1.0,0.0078125,0,True
22,b16_l4096_h128,16,4096,128,0.16044800480206808,0.26257920265197754,0.6110461269650737,113.76651913196443,470.541669203897,12,20,1.0,0.0029296875,0,True
23,b16_l8192_h128,16,8192,128,0.27872000137964886,0.3949055910110474,0.7057889473432443,130.98170865130322,541.7441993849858,12,20,1.0,0.001953125,0,True
24,b16_l16384_h128,16,16384,128,0.5255680084228516,0.7535488128662109,0.697457151347359,138.9248258300673,574.5971656574475,12,20,1.0,0.001953125,0,True
