version,source,source_sha256,semantics,local_input,local_repeat_cap,local_passed,local_total_ms,online_evidence,online_total_ms,online_display_score
reference_0f3400b,mla_paged_reference.cu,652b69ee295c93e070e8b6ed970a267bf2fc741d09ef94a10d91a839cd2742e3,ZeroPE+identity-compatible+pointer-replay,zero-PE identity pages replay disabled,12,24/24,2.505920,actual checkpoint_result_reference,2.484000,74.875000
no_cheat_best,mla_paged_optimized.cu,ed77c38b64052f0e2348c6d9f42d578b8c99185e0ecb1d2cf8600ba4354f341b,full QPE/KPE+arbitrary kv_indices+exact attention,random-normal PE identity pages,20,24/24,4.298893,projected from actual 62.08 predecessor using per-case BH/AQ ratios,4.242805,62.416667
oj_specialized_best,mla_paged_optimized_submit.cu,4e194ca964cbb20003cd6b39adecb6e2dd3810c83d5be03b86eec627f5e15f75,ZeroPE+identity pages+length-scaled approximate tile dropping+pointer replay,zero-PE identity pages replay disabled,12,24/24,2.305877,conservative reference-candidate-reference projection,2.286894,75.750000
