case_id,name,batch_size,seq_len,num_heads,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,kv_bandwidth_GB_s,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,b1_l1024_h64,1,1024,64,0.03866879940032959,0.036800000071525577,1.0507825903579284,3.687891483871219,30.506455289375893,20,20,1.0,0.001953125,0,True
2,b1_l4096_h64,1,4096,64,0.06242560148239136,0.052275198698043826,1.1941724381188696,9.137682784857143,75.58744950709033,20,20,1.0,0.0009765625,0,True
3,b1_l8192_h64,1,8192,64,0.08190720081329346,0.06213120222091675,1.318294156325194,13.928576201750031,115.21800166888812,20,20,1.0,0.0009765625,0,True
4,b1_l16384_h64,1,16384,64,0.10794240236282349,0.08698880076408386,1.2408770027255165,21.13813780362778,174.8559193314798,20,20,1.0,0.0009765625,0,True
5,b4_l1024_h64,4,1024,64,0.05288959741592407,0.04989440143108368,1.0600307028229907,10.78520865859825,89.21588044796347,20,20,1.0,0.001953125,0,True
6,b4_l4096_h64,4,4096,64,0.09297919869422913,0.0769919991493225,1.2076475441805345,24.539912238903998,202.99559756446322,20,20,1.0,0.0009765625,0,True
7,b4_l8192_h64,4,8192,64,0.11057920455932617,0.10405119657516479,1.062738422997814,41.268182116029934,341.3728300039241,20,20,1.0,0.0009765625,0,True
8,b4_l16384_h64,4,16384,64,0.16243200302124022,0.15979520082473755,1.0165011350960076,56.18846861604325,464.79431759594604,20,20,1.0,0.0009765625,0,True
9,b16_l1024_h64,16,1024,64,0.09642239809036254,0.06798080205917359,1.4183768824385463,23.663603282939473,195.74671833313903,20,20,1.0,0.001953125,0,True
10,b16_l4096_h64,16,4096,64,0.16034560203552245,0.14513920545578002,1.1047711163361398,56.91958736715508,470.8421749121284,20,20,1.0,0.0009765625,0,True
11,b16_l8192_h64,16,8192,64,0.25603840351104734,0.21911039352416992,1.1685360944906702,71.292473151249,589.735531582023,20,20,1.0,0.0009765625,0,True
12,b16_l16384_h64,16,16384,64,0.4579328060150146,0.3983360052108765,1.1496143959484355,79.72178786160825,659.4633187081565,20,20,1.0,0.0009765625,0,True
13,b1_l1024_h128,1,1024,128,0.04217599928379059,0.04481280148029328,0.9411596215946856,6.7624401755340315,27.969651461308032,20,20,1.0,0.001953125,0,True
14,b1_l4096_h128,1,4096,128,0.07200000286102295,0.05397760272026062,1.333886635057944,15.84514781481484,65.53599739583343,20,20,1.0,0.0009765625,0,True
15,b1_l8192_h128,1,8192,128,0.0961023986339569,0.08025599718093872,1.1974481909095487,23.742397780212965,98.19925552477788,20,20,1.0,0.0009765625,0,True
16,b1_l16384_h128,1,16384,128,0.1433727979660034,0.10911999940872193,1.3139002817346392,31.828930011410357,131.64539067219357,20,20,1.0,0.0009765625,0,True
17,b4_l1024_h128,4,1024,128,0.08436480164527893,0.05086719989776611,1.658530483589365,13.522827835201129,55.93081365662232,20,20,1.0,0.001953125,0,True
18,b4_l4096_h128,4,4096,128,0.10149120092391968,0.10483200550079345,0.9681318261449411,44.96353093132517,185.970486388753,20,20,1.0,0.0009765625,0,True
19,b4_l8192_h128,4,8192,128,0.15088640451431273,0.15957759618759154,0.9455362664877978,60.48792489540866,250.1798364240248,20,20,1.0,0.0009765625,0,True
20,b4_l16384_h128,4,16384,128,0.25134079456329345,0.2885504007339478,0.8710464235155829,72.6249435143061,300.37890240292046,20,20,1.0,0.0009765625,0,True
21,b16_l1024_h128,16,1024,128,0.10416640043258667,0.10635520219802856,0.9794198899517257,43.80877838774217,181.19439590518363,20,20,1.0,0.001953125,0,True
22,b16_l4096_h128,16,4096,128,0.26600959300994875,0.2664704084396362,0.9982706694060859,68.62012306194279,283.814847223109,20,20,1.0,0.0009765625,0,True
23,b16_l8192_h128,16,8192,128,0.455295991897583,0.4001152038574219,1.1379122500424264,80.18349088434793,331.6412766356303,20,20,1.0,0.0009765625,0,True
24,b16_l16384_h128,16,16384,128,0.8511232376098633,0.7592063903808594,1.1210696437669518,85.78598351637095,354.81335094087245,20,20,1.0,0.0009765625,0,True
