case_id,online_baseline_ms,online_before_ms,inferred_hardware_ms,local_before_ms,local_after_ms,local_ratio,projected_online_ms,online_score_before,projected_score_after
1,1.572,1.093,0.37333365372292654,0.8945407867431641,0.8249241638183594,0.9221761333228145,1.0079385137218362,62.48479999999999,65.38401640595148
2,0.251,0.139,0.03582679112495672,0.16640000343322753,0.11880448341369629,0.7139692365533501,0.09924172388091568,67.5909,77.23703084248511
3,1.676,1.419,0.5728041657817299,1.6094464619954427,1.2001126098632813,0.7456679288202874,1.058102790995988,56.591800000000006,69.44914586685901
4,22.434,19.991,9.16305931501175,21.05461730957031,18.109141031901043,0.8601030721973555,17.194320516297335,55.06870000000001,62.29844574677249
5,0.634,0.412,0.14330512417048635,0.4679338773091634,0.3996774291992187,0.854132279324483,0.35190249908168697,64.617,70.17021500091741
6,6.059,5.171,2.291198889071882,5.5394134521484375,4.7267608642578125,0.8532962749737626,4.412395037889326,56.679100000000005,63.98035089408257
7,2.017,1.607,0.5732245144604383,1.6766379038492838,1.3700863647460937,0.8171629435315768,1.313180850255244,58.274300000000004,66.11505457924518
8,6.63,5.444,2.2917526115679525,5.768888685438368,4.959475925990513,0.859693468953397,4.680171244982294,57.9167,64.49327756636936
9,0.502,0.31,0.10744426337591895,0.343338680267334,0.29833728790283204,0.8689300246349683,0.26936830763684017,66.0774,70.90207949632887
10,0.408,0.264,0.08393799274621574,0.2666410605112712,0.2361395263671875,0.8856082627124326,0.23380058135608223,64.2822,68.37838974430811
11,0.43,0.319,0.08951340207244333,0.3476736068725586,0.2637055969238281,0.7584860964740722,0.24195706477522902,59.737300000000005,69.07398979566685
12,1.162,0.767,0.25510436915871065,0.670643170674642,0.6000844955444335,0.894789542016466,0.6863035787266294,63.9203,67.77513846208002
13,0.408,0.241,0.009923228198134267,0.04036266803741455,0.03743232011795044,0.9273995485940673,0.2235032912111702,63.2718,65.08171725446849
14,0.106,0.005,1.0250769714242652e-05,0.007867733140786488,0.008642560243606568,1.0984816196679779,0.005492408098339889,95.5039,95.08202784194025
15,0.104,0.013,0.0010034624288559294,0.0169813334941864,0.014535679817199706,0.8559798806245711,0.011127738448119423,89.5676,91.05003252900754
