case_id,online_ms,display_score
1,0.997,65
2,0.110,74
3,1.197,62
4,18.000,59
5,0.387,66
6,4.720,61
7,1.367,64
8,4.954,61
9,0.287,69
10,0.232,68
11,0.243,67
12,0.700,67
13,0.033,85
14,0.005,95
15,0.011,91
