case_id,online_baseline_ms,online_before_ms,inferred_hardware_ms,local_before_ms,local_after_ms,local_ratio,projected_online_ms,online_score_before,projected_score_after
1,1.572,1.093,0.37333365372292654,0.8945407867431641,0.8256256103515625,0.9229602747991991,1.0087955803555246,62.48479999999999,65.35346322182268
2,0.251,0.139,0.03582679112495672,0.16640000343322753,0.11509759426116943,0.6916922589328878,0.09614522399167141,67.5909,78.1051677338159
3,1.676,1.419,0.5728041657817299,1.6094464619954427,1.201356792449951,0.7464409788198054,1.059199748945304,56.591800000000006,69.40121984524187
4,22.434,19.991,9.16305931501175,21.05461730957031,18.109994252522785,0.8601435963545604,17.195130634724016,55.06870000000001,62.29607663958511
5,0.634,0.412,0.14330512417048635,0.4679338773091634,0.3968512058258057,0.8480924871434485,0.3494141047031008,64.617,70.4208036952224
6,6.059,5.171,2.291198889071882,5.5394134521484375,4.726988983154297,0.8533374560299258,4.412607985130747,56.679100000000005,63.97803743629296
7,2.017,1.607,0.5732245144604383,1.6766379038492838,1.3720831871032715,0.818353911690291,1.3150947360862977,58.274300000000004,66.05716017039211
8,6.63,5.444,2.2917526115679525,5.768888685438368,4.960639953613281,0.8598952457056,4.681269717621286,57.9167,64.48274745627653
9,0.502,0.31,0.10744426337591895,0.343338680267334,0.2957823991775513,0.8614887170511812,0.26706150228586617,66.0774,71.19721712230154
10,0.408,0.264,0.08393799274621574,0.2666410605112712,0.23349759578704835,0.875700071621858,0.23118481890817053,64.2822,68.75788957851567
11,0.43,0.319,0.08951340207244333,0.3476736068725586,0.2597631931304932,0.7471467146072741,0.23833980195972043,59.737300000000005,69.58462159151634
12,1.162,0.767,0.25510436915871065,0.670643170674642,0.6001408100128174,0.8948735128534868,0.6863679843586245,63.9203,67.77187644327387
13,0.408,0.241,0.009923228198134267,0.04036266803741455,0.03330560028553009,0.8251585414189457,0.19886320848196593,63.2718,67.81352838526
14,0.106,0.005,1.0250769714242652e-05,0.007867733140786488,0.008422400057315826,1.0704989488845182,0.0053524947444225915,95.5039,95.20151950852821
15,0.104,0.013,0.0010034624288559294,0.0169813334941864,0.011801599711179733,0.6949748507807139,0.00903467306014928,89.5676,92.76648336895926
