case_id,online_baseline_ms,online_before_ms,inferred_hardware_ms,local_before_ms,local_after_ms,local_ratio,projected_online_ms,online_score_before,projected_score_after
1,1.572,1.093,0.37333365372292654,0.8945407867431641,0.8252928161621094,0.9225882468331353,1.0083889537886168,62.48479999999999,65.36795530923322
2,0.251,0.139,0.03582679112495672,0.16640000343322753,0.11410431861877442,0.6857230544743459,0.09531550457193409,67.5909,78.34111370660571
3,1.676,1.419,0.5728041657817299,1.6094464619954427,1.200552978515625,0.7459415437945922,1.0584910506445264,56.591800000000006,69.43217526189129
4,22.434,19.991,9.16305931501175,21.05461730957031,18.11037826538086,0.8601618352449866,17.195495248382525,55.06870000000001,62.29501042361282
5,0.634,0.412,0.14330512417048635,0.4679338773091634,0.39536640167236325,0.8449193803746444,0.34810678471435347,64.617,70.55317318878518
6,6.059,5.171,2.291198889071882,5.5394134521484375,4.726120688698509,0.8531807075829487,4.411797438911428,56.679100000000005,63.986844100132195
7,2.017,1.607,0.5732245144604383,1.6766379038492838,1.3707571411132813,0.8175630158224678,1.3138237664267058,58.274300000000004,66.09559526348022
8,6.63,5.444,2.2917526115679525,5.768888685438368,4.960365658714657,0.8598476984372125,4.681010870292185,57.9167,64.48522849275983
9,0.502,0.31,0.10744426337591895,0.343338680267334,0.294338550567627,0.8572833982423593,0.26575785345513137,66.0774,71.36509796569452
10,0.408,0.264,0.08393799274621574,0.2666410605112712,0.23178752899169922,0.8692867053080946,0.22949169020133697,64.2822,69.00578579557008
11,0.43,0.319,0.08951340207244333,0.3476736068725586,0.2589593505859375,0.744834653729871,0.23760225453982886,59.737300000000005,69.68966567033254
12,1.162,0.767,0.25510436915871065,0.670643170674642,0.5996134567260742,0.8940871732472658,0.6857648618806529,63.9203,67.80243571576881
13,0.408,0.241,0.009923228198134267,0.04036266803741455,0.03184128046035767,0.7888794772149873,0.19011995400881193,63.2718,68.83884069482056
14,0.106,0.005,1.0250769714242652e-05,0.007867733140786488,0.008611840009689332,1.0945770345266768,0.0054728851726333835,95.5039,95.09868320008576
15,0.104,0.013,0.0010034624288559294,0.0169813334941864,0.010880000591278076,0.6407035463382701,0.008329146102397511,89.5676,93.35973878073591
