case_id,online_baseline_ms,online_before_ms,inferred_hardware_ms,local_before_ms,local_after_ms,local_ratio,projected_online_ms,online_score_before,projected_score_after
1,1.572,1.093,0.37333365372292654,0.8945407867431641,0.8253183746337891,0.9226168184444677,1.0084201825598031,62.48479999999999,65.36684209439005
2,0.251,0.139,0.03582679112495672,0.16640000343322753,0.11108863830566407,0.6675999760435183,0.09279639667004905,67.5909,79.06628339003566
3,1.676,1.419,0.5728041657817299,1.6094464619954427,1.2013158416748047,0.7464155348077719,1.0591636438922283,56.591800000000006,69.4027962199088
4,22.434,19.991,9.16305931501175,21.05461730957031,18.11037826538086,0.8601618352449866,17.195495248382525,55.06870000000001,62.29501042361282
5,0.634,0.412,0.14330512417048635,0.4679338773091634,0.3874969482421875,0.8281019328424658,0.3411779963310959,64.617,71.26312222171524
6,6.059,5.171,2.291198889071882,5.5394134521484375,4.726923509077593,0.853325636353119,4.412546865581978,56.679100000000005,63.97870142165335
7,2.017,1.607,0.5732245144604383,1.6766379038492838,1.3705625915527344,0.8174469802967886,1.3136372973369392,58.274300000000004,66.10123799385498
8,6.63,5.444,2.2917526115679525,5.768888685438368,4.959658668154762,0.8597251461401506,4.68034369558698,57.9167,64.49162420353628
9,0.502,0.31,0.10744426337591895,0.343338680267334,0.28813312530517576,0.8392096255534812,0.26015498392157915,66.0774,72.09572804161554
10,0.408,0.264,0.08393799274621574,0.2666410605112712,0.22744064331054686,0.8529843185983456,0.22518786010996325,64.2822,69.64404411990357
11,0.43,0.319,0.08951340207244333,0.3476736068725586,0.24371711730957032,0.7009940141901712,0.2236170905266646,59.737300000000005,71.74327155395184
12,1.162,0.767,0.25510436915871065,0.670643170674642,0.6006425476074219,0.8956216567495915,0.6869418107269367,63.9203,67.74282712004832
13,0.408,0.241,0.009923228198134267,0.04036266803741455,0.03182591915130615,0.7884988951128012,0.19002823372218508,63.2718,68.84976099436508
14,0.106,0.005,1.0250769714242652e-05,0.007867733140786488,0.008893439769744873,1.1303687619552194,0.005651843809776097,95.5039,94.94622842893074
15,0.104,0.013,0.0010034624288559294,0.0169813334941864,0.010844160318374634,0.6385929775236531,0.00830170870780749,89.5676,93.38296334224583
