case_id,online_baseline_ms,online_before_ms,inferred_hardware_ms,local_before_ms,local_after_ms,local_ratio,projected_online_ms,online_score_before,projected_score_after
1,1.572,1.093,0.37333365372292654,0.8945407867431641,0.8407807922363282,0.939902131570138,1.0273130298061608,62.48479999999999,64.70024634553165
2,0.251,0.139,0.03582679112495672,0.16640000343322753,0.1610598373413086,0.967907656359744,0.13453916423400442,67.5909,68.55147901822045
3,1.676,1.419,0.5728041657817299,1.6094464619954427,1.4847897338867186,0.9225468314403135,1.309093953813805,56.591800000000006,59.97306099455505
4,22.434,19.991,9.16305931501175,21.05461730957031,19.365973154703777,0.9197969675706732,18.38766117870533,55.06870000000001,58.993645769018755
5,0.634,0.412,0.14330512417048635,0.4679338773091634,0.4499097442626953,0.9614814529990536,0.3961303586356101,64.617,65.99618074016374
6,6.059,5.171,2.291198889071882,5.5394134521484375,5.149990463256836,0.929699598656864,4.807476624654644,56.679100000000005,59.95789045549804
7,2.017,1.607,0.5732245144604383,1.6766379038492838,1.5501823425292969,0.9245778942312673,1.4857966760296466,58.274300000000004,61.27175195523754
8,6.63,5.444,2.2917526115679525,5.768888685438368,5.355465939170436,0.9283358080194061,5.0538601388576465,57.9167,61.099021667581965
9,0.502,0.31,0.10744426337591895,0.343338680267334,0.3292006301879883,0.9588218546528536,0.29723477494238465,66.0774,67.5208813004002
10,0.408,0.264,0.08393799274621574,0.2666410605112712,0.25378816604614257,0.9517970171567582,0.2512744125293842,64.2822,65.9468955177211
11,0.43,0.319,0.08951340207244333,0.3476736068725586,0.2916454315185547,0.83884835015808,0.2675926237004275,59.737300000000005,65.65928279256534
12,1.162,0.767,0.25510436915871065,0.670643170674642,0.629488639831543,0.9386342355477966,0.71993245866516,63.9203,66.11357793035661
13,0.408,0.241,0.009923228198134267,0.04036266803741455,0.040079360008239744,0.9929809389975859,0.23930840629841818,63.2718,63.44237636464558
14,0.106,0.005,1.0250769714242652e-05,0.007867733140786488,0.008913919925689698,1.1329718187160869,0.005664859093580435,95.5039,94.93515978080355
15,0.104,0.013,0.0010034624288559294,0.0169813334941864,0.016824320554733277,0.9907537921266973,0.012879799297647064,89.5676,89.6613217639983
