case_id,name,batch_size,seq_len,head_dim,logical_pages,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,partial_page_b1_l257_d128,1,257,128,17,0.07065600156784058,0.06272000074386597,1.1265306238815813,15.315709805075418,3,20,1.0,0.0009765625,0,True
2,b1_l1024_d128,1,1024,128,64,0.30907734235127765,0.3578495979309082,0.8637073903068986,55.58436944392531,3,20,1.0,0.00048828125,0,True
3,b4_l1024_d128,4,1024,128,256,1.0530133247375488,1.2345727920532226,0.8529374140720196,65.25983586497115,3,20,1.0,0.00048828125,0,True
4,b1_l4096_d128,1,4096,128,256,3.9142398834228516,4.603059387207031,0.8503561553651537,70.2251050346025,3,20,1.0,0.00048828125,0,True
5,b4_l4096_d128,4,4096,128,1024,15.209813435872396,17.763776143391926,0.8562263627449732,72.28961962036945,3,12,1.0,0.00048828125,0,True
6,b16_l1024_d128,16,1024,128,1024,4.0145918528238935,4.731110382080078,0.8485517201268172,68.46970178317102,3,20,1.0,0.00048828125,0,True
7,b1_l8192_d128,1,8192,128,512,15.40667724609375,18.07690684000651,0.8522850387211599,71.36591558408696,3,12,1.0,0.000244140625,0,True
8,b1_l1024_d256,1,1024,256,64,0.6860799789428711,0.7948416233062744,0.8631656405825964,50.08124332813549,3,20,1.0,0.000244140625,0,True
9,b4_l1024_d256,4,1024,256,256,2.6868054072062173,3.127039909362793,0.8592168584614311,51.1532964402179,3,20,1.0,0.0009765625,0,True
10,b1_l4096_d256,1,4096,256,256,10.161663691202799,11.992967493393841,0.847301862262214,54.10096521536499,3,17,1.0,0.000244140625,0,True
11,b16_l1024_d256,16,1024,256,1024,10.508970896402994,12.294685812557445,0.8547571736781943,52.31300184456408,3,17,1.0,0.0009765625,0,True
12,b1_l16384_d128,1,16384,128,1024,60.40678405761719,71.19598897298177,0.848457686015725,72.80716197222246,3,3,1.0,0.000244140625,0,True
13,b16_l4096_d128,16,4096,128,4096,60.76219685872396,70.27003987630208,0.8646956365142956,72.38129525385237,3,3,1.0,0.00048828125,0,True
14,b16_l8192_d128,16,8192,128,8192,241.8050537109375,284.70477294921875,0.8493185808095566,72.75359126880092,1,1,1.0,0.00048828125,0,True
15,b4_l16384_d128,4,16384,128,4096,241.3772735595703,284.5501403808594,0.8482767685037729,72.88252860339963,1,1,1.0,0.000244140625,0,True
16,b64_l1024_d128,64,1024,128,4096,15.833258310953775,18.71546242453835,0.8459987764018249,69.44316868849005,3,11,1.0,0.0009765625,0,True
17,b4_l4096_d256,4,4096,256,1024,39.77156321207682,47.124838256835936,0.843961797710946,55.291345824804196,3,5,1.0,0.000244140625,0,True
18,b16_l4096_d256,16,4096,256,4096,159.48594665527344,188.75430297851562,0.8449393954924908,55.1527780765576,2,2,1.0,0.00048828125,0,True
19,b64_l1024_d256,64,1024,256,4096,42.16430918375651,49.29500122070313,0.8553465491354559,52.15366498638516,3,5,1.0,0.0009765625,0,True
20,b4_l8192_d256,4,8192,256,2048,157.76063537597656,187.56710815429688,0.8410890210356027,55.75594318091501,2,2,1.0,0.000244140625,0,True
