case_id,name,batch_size,seq_len,head_dim,logical_pages,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
4,b1_l4096_d128,1,4096,128,256,2.896895980834961,4.585612869262695,0.6317358362832628,94.88704764082452,5,20,1.0,0.00048828125,0,True
12,b1_l16384_d128,1,16384,128,1024,43.44064025878906,70.7430419921875,0.6140623732802786,101.24267241236555,5,3,1.0,0.000244140625,0,True
