case_id,name,batch_size,seq_len,head_dim,logical_pages,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,partial_page_b1_l257_d128,1,257,128,17,0.0730453332265218,0.0630400002002716,1.158714038617771,14.814728993625655,3,20,1.0,0.00390625,0,True
2,b1_l1024_d128,1,1024,128,64,0.32179200649261475,0.3569024085998535,0.9016246423077426,53.38811666347058,3,20,1.0,0.001953125,0,True
4,b1_l4096_d128,1,4096,128,256,3.2653652826944985,4.601472091674805,0.7096349206599226,84.17983384608584,3,20,1.0,0.0009765625,0,True
7,b1_l8192_d128,1,8192,128,512,12.767317454020182,18.104365955699574,0.7052065499151493,86.11923622450423,3,11,1.0,0.00048828125,0,True
12,b1_l16384_d128,1,16384,128,1024,50.32354227701823,71.20281473795573,0.7067633837541608,87.39540803574357,3,3,1.0,0.00048828125,0,True
