case_id,name,batch_size,seq_len,head_dim,logical_pages,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,partial_page_b1_l257_d128,1,257,128,17,0.062208001812299095,0.06375679969787598,0.9757077222678026,17.395620892392166,3,20,0.06220551207661629,1.4765625,560623,False
2,b1_l1024_d128,1,1024,128,64,0.2390186587969462,0.35759360790252687,0.6684086446592694,71.87668640796296,3,20,0.06992745399475098,0.96826171875,2017502,False
3,b4_l1024_d128,4,1024,128,256,0.7427413463592529,1.2358783721923827,0.6009825586976404,92.52141014210001,3,20,0.07009756565093994,1.017578125,8072288,False
4,b1_l4096_d128,1,4096,128,256,2.744746526082357,4.602239990234375,0.5963936109169694,100.14691860684852,3,20,0.07205933332443237,0.89208984375,7848596,False
5,b4_l4096_d128,4,4096,128,1024,10.406997044881185,17.781631469726562,0.5852667154079321,105.65119054365532,3,12,0.07248717546463013,0.89892578125,31356317,False
7,b1_l8192_d128,1,8192,128,512,10.56546147664388,18.09002685546875,0.5840489658228375,104.06659758370157,3,12,0.07247796654701233,0.955810546875,15667344,False
8,b1_l1024_d256,1,1024,256,64,0.4049919843673706,0.78886399269104,0.5133863227624669,84.84053930517321,3,20,0.07052147388458252,1.080078125,4012297,False
9,b4_l1024_d256,4,1024,256,256,1.43505064646403,3.107456016540527,0.46180883617514407,95.77289401642379,3,20,0.07028013467788696,1.04052734375,16091316,False
10,b1_l4096_d256,1,4096,256,256,5.359189351399739,11.972999123965993,0.44760625937676807,102.58189771637983,3,17,0.07238933444023132,0.8975982666015625,15669051,False
12,b1_l16384_d128,1,16384,128,1024,41.15234120686849,71.2448018391927,0.5776188598257852,106.87232808931775,3,3,0.07263018190860748,0.9189453125,31257808,False
